,dataSetName,TSid,lat,lon,seasonality_array,season,units,archive,PSM,Corr_prior,Corr_recon,Corr_diff
18,Ruby.Thompson.1984,OLS_RXjJiwKiDO4,40.58,244.67000000000002,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.3771407826789195,0.5290943492981756,0.15195356661925608
19,ChemchaneAderg.Chamard.1972,OLS_RajLAejX7H1,21.0,347.88,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6585094108791177,0.7471100047894295,0.08860059391031172
20,Pickerel.Watts.1968,OLS_RifcIdFjsr2,43.5,262.67,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.9146332631422741,0.7846381520574329,1.699271415199707
21,RubyLakeMarshesLakeFranklin.Thompson.1990,pdRUteHT9P1yzhdRamQ,40.12,244.51,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,Shoreline,get_LakeStatus,0.7253525823332391,0.6836651535070554,-0.0416874288261837
22,TermitOuestKandelBouzou.Faure.1963,OLS_RmpO87FXnN9,16.08,11.25,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.7506958792856693,0.3942803017952996,1.1449761810809689
23,Valencia.Bradbury.1981,OLS_RVw6wlN8ACI,10.1,292.25,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.958415693539456,0.9119965028774125,-0.046419190662043475
24,Turkana.Butzer.1972,OLS_RDo2ZhhzvEJ,5.0,36.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.23940132160978145,0.19079587313069735,-0.0486054484790841
25,BuffleheadPond.Shuman.2009,pdRtg8eM5mtBLKQ8gkF,44.98,266.47,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.9050881051738351,-0.349960098860921,0.555128006312914
26,Frome.Bowler.1986,OLS_RTxbwsdvMwm,-30.75,139.83,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.22059548040512014,-0.1278576177916596,-0.3484530981967797
27,Fachi.Faure.1966,OLS_RKoQn911SXJ,18.12,11.67,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6084834115326051,0.7798699800290863,0.17138656849648115
28,LakeWestOkoboji.Van.1979,pdR889sQHzAg5FOKA7S,46.3,264.8,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,LakeSediment,get_LakeStatus,-0.0015143326207743752,0.5045508356125074,0.5060651682332817
29,Gnotuk.Barton.1980,OLS_RSllKp5JECx,-38.22,143.1,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.616616457408728,0.1631135505844468,0.7797300079931747
30,Afrera.Gasse.1975,OLS_R7luETutJOR,13.42,40.83,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.8513513128020138,0.8664055631228333,0.015054250320819529
31,CayugaLake.Mullins.1998,pdRHn2Pz80FEgrQMUn0,43.0,284.75,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.8663870974254806,0.845281099813956,-0.02110599761152454
32,HassiElMejna.Fontes.1985,OLS_R2KxxymoXwo,31.5,2.3,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.383517589185409,-0.256038022739912,-0.639555611925321
33,Bromfield.Kershaw.1975a,OLS_RwqOkY17CbA,-17.38,145.55,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.27941697440682867,-0.2945098660654546,-0.015092891658625929
34,Breadalbane.Dodson.1986,OLS_RnZixdO7vMV,-34.78,149.48,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.4171030206026501,0.2952884215997163,0.7123914422023664
35,Duck.Winkler.1982,OLS_RSzZCo2C7Xj,41.93,290.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.6945477871553397,-0.3748782196655085,0.3196695674898312
36,Patzcuaro.Watts.1982,OLS_ROkPLG6ezuC,19.58,258.42,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.2404652588416827,-0.2777334633132669,-0.037268204471584215
37,WestTwinLakeNebraska.Schmieder.2011,pdRfOJh6SjJ3emsFmsY,42.4,258.56,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,LakeSediment,get_LakeStatus,-0.8590570788906503,0.3142792671196032,1.1733363460102535
38,WielkeGacno.HjelmroosEricsson.1982,OLS_Rnp35KKbNIN,53.73,17.2,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6029141980529983,0.32292744453173194,-0.27998675352126634
39,Chenghai.Xu.2020,WEB2b92ddec,26.5,100.66,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,-0.42290320146138577,-0.41123106256472464,0.011672138896661133
40,Rutz.Waddington.1969,OLS_RAcSotekegB,44.87,266.13,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.4640854800236973,0.6052889103723164,0.14120343034861904
41,Beysehir.Roberts.1980,OLS_RaIxqdb5VXZ,37.75,31.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.44321448648301154,-0.38767752444806725,0.05553696203494429
42,Quexil.Deevey.1978,OLS_RSQIFjVgiso,16.93,269.88,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.31765239260169464,0.38535866919731027,0.06770627659561562
43,NakuruElmenteita.Butzer.1972,OLS_RjwvXKkI618,-0.42,36.17,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.1850912589526934,0.20626306817080164,0.39135432712349505
44,LisanDeadSea.Vogel.1972,OLS_Rz4NEhuh5D0,31.5,35.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.8001136556469701,0.6979248268281981,-0.102188828818772
45,TaguaTagua.Montane.1968,OLS_ROVfSZGskJH,-34.5,288.83,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.7288998611224844,0.723919010070324,-0.0049808510521603955
46,ZhangzangChaka.Qi.1981,OLS_RAPLKNVwmJW,32.5,82.33,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.7554941967574188,0.7771617026988831,0.02166750594146427
47,Weber.Fries.1962,OLS_Rh1QgEylyEm,47.47,268.35,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.7478877829698798,0.40397139908830587,1.1518591820581856
48,Bancannia.Dury.1973,OLS_RXfu7xAGzWB,-30.82,141.93,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.5055732094686229,0.18163336953197223,-0.3239398399366507
49,RiceLakeMiddleBasin.Yu.1994,pdRQvUAgiTzsooiU2HT,44.21,281.87,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.1622484800888953,0.4231377775436799,0.2608892974547846
50,Abhe.Gasse.1975,OLS_RfBMrSLi0j3,11.25,42.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.6099785025992523,0.6081377572754262,-0.001840745323826165
51,MaineSoroa.Durand.1984,OLS_RPogGSF6ido,13.12,12.0,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.3551514535646363,0.42848772705092986,0.07333627348629357
52,Asal.Gasse.1975,OLS_ResQaXkZnvE,11.6,42.5,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.8436590173644495,0.7913884042094227,-0.05227061315502679
53,George.Coventry.1976,OLS_RfoenkHHXTE,-35.08,149.42,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.15673594979874983,0.3039823143955177,0.46071826419426753
54,Agadem.Faure.1963,OLS_RF7pv7UUDFw,16.83,13.33,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,-0.5858201265241308,0.0939923131131914,0.6798124396373222
55,Hook.Winkler.1985c,OLS_RpZvDDmAq2c,42.95,270.67,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,unitless,Shoreline,get_LakeStatus,0.41345640582936954,0.7502828357600984,0.3368264299307288
56,MirrorLake.Davis.1982,pdRmwkDfwe6u28KuWTk,43.95,288.3,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.8502212441011351,0.887548034904456,0.03732679080332091
57,SilverLakeLakeMohave.Wells.2003,pdR0bHPwOODs54avzaw,35.34,243.89,[ 1  2  3  4  5  6  7  8  9 10 11 12],annual,m,LakeSediment,get_LakeStatus,0.6821231299918014,0.7357645704938106,0.05364144050200925
